datetime,denoised_acc_x,denoised_acc_y,denoised_acc_z,activity
2020-07-06 00:57:14.093750,7.726327816069472,9.29197259426924,20.827217877727527,1
2020-07-06 00:57:14.125000,7.726277301971411,9.291841981861518,20.826947125608022,1
2020-07-06 00:57:14.156250,7.726226789195476,9.291711369510494,20.826676371901968,1
2020-07-06 00:57:14.187500,7.726176277741715,9.291580757216249,20.82640561660956,1
2020-07-06 00:57:14.218750,7.726125767610104,9.291450144978713,20.826134859730765,1
2020-07-06 00:57:14.250000,7.726075258800715,9.291319532797887,20.825864101265736,1
2020-07-06 00:57:14.281250,7.726024751313515,9.291188920673813,20.82559334121448,1
2020-07-06 00:57:14.312500,7.725974245148515,9.291058308606477,20.82532257957711,1
2020-07-06 00:57:14.343750,7.725923740305735,9.290927696595894,20.825051816353668,1
2020-07-06 00:57:14.375000,7.725873236785242,9.290797084642056,20.8247810515442,1
2020-07-06 00:57:14.406250,7.725822734586982,9.290666472744975,20.82451028514881,1
2020-07-06 00:57:14.437500,7.72577223371105,9.29053586090465,20.824239517167552,1
2020-07-06 00:57:14.468750,7.725721734157387,9.2904052491211,20.82396874760048,1
2020-07-06 00:57:14.500000,7.725671235926042,9.290274637394322,20.823697976447672,1
2020-07-06 00:57:14.531250,7.7256207390170335,9.290144025724292,20.823427203709187,1
2020-07-06 00:57:14.562500,7.725570243430385,9.290013414111064,20.82315642938513,1
2020-07-06 00:57:14.593750,7.725519749166089,9.289882802554608,20.822885653475563,1
2020-07-06 00:57:14.625000,7.725469256224182,9.289752191054957,20.822614875980484,1
2020-07-06 00:57:14.656250,7.725418764604671,9.289621579612083,20.82234409690001,1
2020-07-06 00:57:14.687500,7.725368274307562,9.289490968226003,20.822073316234203,1
2020-07-06 00:57:14.718750,7.725317785332894,9.28936035689674,20.821802533983185,1
2020-07-06 00:57:14.750000,7.725267297680661,9.289229745624274,20.821531750146946,1
2020-07-06 00:57:14.781250,7.72521681135091,9.28909913440862,20.82126096472557,1
2020-07-06 00:57:14.812500,7.725166326343618,9.288968523249782,20.820990177719143,1
2020-07-06 00:57:14.843750,7.725115842658855,9.288837912147756,20.82071938912772,1
2020-07-06 00:57:14.875000,7.725065360296574,9.288707301102576,20.82044859895136,1
2020-07-06 00:57:14.906250,7.72501487925684,9.288576690114215,20.82017780719013,1
2020-07-06 00:57:14.937500,7.724964399539619,9.288446079182672,20.81990701384414,1
2020-07-06 00:57:14.968750,7.724913921144983,9.288315468307996,20.819636218913423,1
2020-07-06 00:57:15.000000,7.724863444072898,9.28818485749016,20.819365422398064,1
2020-07-06 00:57:15.031250,7.72481296832343,9.288054246729148,20.81909462429809,1
2020-07-06 00:57:15.062500,7.7247624938965584,9.28792363602502,20.818823824613656,1
2020-07-06 00:57:15.093750,7.72471202079233,9.287793025377718,20.81855302334468,1
2020-07-06 00:57:15.125000,7.724661549010731,9.287662414787292,20.81828222049136,1
2020-07-06 00:57:15.156250,7.724611078551772,9.287531804253735,20.81801141605372,1
2020-07-06 00:57:15.187500,7.724560609415521,9.28740119377704,20.817740610031844,1
2020-07-06 00:57:15.218750,7.724510141601916,9.287270583357246,20.81746980242573,1
2020-07-06 00:57:15.250000,7.724459675111074,9.287139972994291,20.81719899323558,1
2020-07-06 00:57:15.281250,7.724409209942912,9.287009362688254,20.81692818246137,1
2020-07-06 00:57:15.312500,7.724358746097508,9.286878752439096,20.816657370103137,1
2020-07-06 00:57:15.343750,7.724308283574853,9.28674814224684,20.816386556161,1
2020-07-06 00:57:15.375000,7.724257822374961,9.286617532111473,20.816115740635013,1
2020-07-06 00:57:15.406250,7.724207362497852,9.286486922033008,20.815844923525272,1
2020-07-06 00:57:15.437500,7.724156903943564,9.286356312011472,20.815574104831825,1
2020-07-06 00:57:15.468750,7.724106446712084,9.286225702046814,20.815303284554723,1
2020-07-06 00:57:15.500000,7.724055990803447,9.286095092139096,20.81503246269405,1
2020-07-06 00:57:15.531250,7.724005536217675,9.285964482288309,20.814761639249856,1
2020-07-06 00:57:15.562500,7.723955082954737,9.285833872494422,20.81449081422221,1
2020-07-06 00:57:15.593750,7.723904631014704,9.285703262757494,20.81421998761123,1
2020-07-06 00:57:15.625000,7.723854180397567,9.28557265307748,20.813949159416893,1
2020-07-06 00:57:15.656250,7.723803731103348,9.28544204345441,20.81367832963935,1
2020-07-06 00:57:15.687500,7.723753283132073,9.28531143388829,20.81340749827864,1
2020-07-06 00:57:15.718750,7.72370283648373,9.28518082437914,20.8131366653348,1
2020-07-06 00:57:15.750000,7.723652391158372,9.285050214926931,20.812865830807944,1
2020-07-06 00:57:15.781250,7.723601947156004,9.284919605531668,20.812594994698124,1
2020-07-06 00:57:15.812500,7.723551504476602,9.284788996193384,20.8123241570054,1
2020-07-06 00:57:15.843750,7.723501063120218,9.28465838691205,20.81205331772985,1
2020-07-06 00:57:15.875000,7.723450623086888,9.284527777687709,20.811782476871475,1
2020-07-06 00:57:15.906250,7.7234001843765725,9.28439716852033,20.811511634430467,1
2020-07-06 00:57:15.937500,7.723349746989351,9.284266559409923,20.811240790406806,1
2020-07-06 00:57:15.968750,7.723299310925206,9.284135950356536,20.810969944800608,1
2020-07-06 00:57:16.000000,7.723248876184154,9.284005341360114,20.81069909761188,1
2020-07-06 00:57:16.031250,7.723198442766199,9.283874732420704,20.81042824884072,1
2020-07-06 00:57:16.062500,7.7231480106713875,9.283744123538286,20.81015739848721,1
2020-07-06 00:57:16.093750,7.723097579899705,9.28361351471287,20.809886546551365,1
