datetime,denoised_acc_x,denoised_acc_y,denoised_acc_z,activity
2020-03-02 06:21:32.968750,-11.770644926419015,-25.178849555571297,-36.79656016547337,1
2020-03-02 06:21:33.000000,-11.770781216560074,-25.17903856090163,-36.79629254865306,1
2020-03-02 06:21:33.031250,-11.770917506624029,-25.179227562468267,-36.79602492698853,1
2020-03-02 06:21:33.062500,-11.771053796610865,-25.179416560271186,-36.79575730047991,1
2020-03-02 06:21:33.093750,-11.77119008652056,-25.17960555431032,-36.79548966912736,1
2020-03-02 06:21:33.125000,-11.771326376353112,-25.179794544585626,-36.79522203293105,1
2020-03-02 06:21:33.156250,-11.771462666108494,-25.179983531097065,-36.79495439189112,1
2020-03-02 06:21:33.187500,-11.7715989557867,-25.1801725138446,-36.79468674600772,1
2020-03-02 06:21:33.218750,-11.771735245387704,-25.180361492828155,-36.794419095281,1
2020-03-02 06:21:33.250000,-11.771871534911492,-25.1805504680477,-36.79415143971112,1
2020-03-02 06:21:33.281250,-11.772007824358049,-25.1807394395032,-36.79388377929824,1
2020-03-02 06:21:33.312500,-11.772144113727355,-25.18092840719459,-36.79361611404247,1
2020-03-02 06:21:33.343750,-11.772280403019408,-25.18111737112183,-36.79334844394402,1
2020-03-02 06:21:33.375000,-11.772416692234174,-25.18130633128488,-36.793080769003,1
2020-03-02 06:21:33.406250,-11.772552981371646,-25.18149528768368,-36.79281308921959,1
2020-03-02 06:21:33.437500,-11.772689270431805,-25.181684240318194,-36.79254540459391,1
2020-03-02 06:21:33.468750,-11.772825559414628,-25.181873189188373,-36.792277715126126,1
2020-03-02 06:21:33.500000,-11.772961848320111,-25.18206213429417,-36.792010020816406,1
2020-03-02 06:21:33.531250,-11.77309813714824,-25.182251075635538,-36.79174232166489,1
2020-03-02 06:21:33.562500,-11.773234425898984,-25.18244001321243,-36.79147461767173,1
2020-03-02 06:21:33.593750,-11.773370714572334,-25.18262894702481,-36.79120690883708,1
2020-03-02 06:21:33.625000,-11.773507003168277,-25.18281787707261,-36.79093919516108,1
2020-03-02 06:21:33.656250,-11.773643291686792,-25.18300680335581,-36.7906714766439,1
2020-03-02 06:21:33.687500,-11.773779580127869,-25.18319572587433,-36.79040375328567,1
2020-03-02 06:21:33.718750,-11.773915868491482,-25.18338464462816,-36.79013602508657,1
2020-03-02 06:21:33.750000,-11.774052156777628,-25.18357355961724,-36.78986829204673,1
